BARRIO,EDAD
HACIENDA SAN JUAN,ADULTO
CONVIVIR,ADULTOMAYOR
CENTRO P/TA,ADULTO
EL PROGRESO,ADULTOJOVEN
ESPANHA,ADULTOMAYOR
HACIENDA PIEDRAPINTADA,ADULTO
EL CARMEN,ADULTOMAYOR
ESTACION,ADULTO
CADIZ,ADULTOMAYOR
TOLIMA GRANDE,ADULTOJOVEN
JORDAN MUTIFAMILIARES,ADULTO
SANTA RITA,ADULTO
CENTRO,ADULTO
VERSALLES E2,ADULTOJOVEN
CIUDAD CAPRI E17,ANCIANO
LOS LAGOS E13,ADULTO
PRADOS DEL NORTE E2,ADULTO
CGTO LA VORAGINE E22,ADULTO
PRADOS DEL NORTE E2,ADULTOJOVEN
LOS LAGOS E13,ADULTOJOVEN
VALLE GRANDE E21,ADULTOJOVEN
VILLA DEL LAGO E13,ADULTOMAYOR
ALTAMIRA,ADULTO
CENTRAL,ANCIANO
LAS FLORES,OTRA
CAMILO CORTEZ,ADULTOJOVEN
MARCELIANO CANYES,ANCIANO
EL CAUNZAL,ADULTOJOVEN
MANZANAREZ,ADULTO
CIUDADELA DEL NORTE,ANCIANO
CIUDADELA DEL NORTE,ADULTOJOVEN
CIUDADELA DEL NORTE,ADULTOJOVEN
BRISAS DE URABA,ADULTO
LA MINA,ADULTOJOVEN
SAN JOSE,ADULTOJOVEN
CENTRO,ADULTOJOVEN
TRIANA,ANCIANO
SANTA MARIA # 3,ADULTOJOVEN
EL DORADO,ADULTOJOVEN
SEVILLA  C-4,INFANTE
LAURELES C-11,ADULTOMAYOR
JARDIN BOTANICO  C-4,ADULTO
LOS CERROS EL VERGEL  C-9,ADULTOJOVEN
ASTORGA C-14,ADULTO
LA FRANCIA  C-2,ADULTO
PRADO C-10,ADULTOMAYOR
VILLANUEVA C-10,ADULTOJOVEN
