BARRIO,MOVILVICTIMA
GALAN GOMEZ,A PIE
VILLARELIS III,A PIE
CABECERA DEL LLANO,A PIE
CABECERA DEL LLANO,A PIE
CENTRO,A PIE
TRANSICION IV,A PIE
ANTIGUO CAMPESTRE,A PIE
DANGOND,A PIE
LA CONCORDIA,A PIE
LAGOS I,A PIE
LAGOS I,TRANSPORTE PUBLICO
ANILLO VIAL,VEHICULO
VILLA MERLANO,A PIE
CENTRO,A PIE
URB. LAS COLINAS,A PIE
URB. LAS COLINAS,A PIE
FLORENCIA,A PIE
LA MANO DE DIOS,A PIE
URB. LOS TEJARES,A PIE
CARMENZA ROCHA,A PIE
CARMENZA ROCHA,A PIE
CENTRO,A PIE
CENTRO,A PIE
EL CARMEN,A PIE
LAS PALMERAS (URB.),A PIE
LAURELES,A PIE
PRADOS DEL NORTE,A PIE
JORDAN III ETAPA,A PIE
LA MIEL,A PIE
CENTRO,A PIE
EL CENTRO,A PIE
EL POBLADO II E13,A PIE
JOSE M. MARROQUIN II E14,A PIE
JOSE M. MARROQUIN II E14,A PIE
LAS DELICIAS E4,A PIE
LOS GUADUALES E6,A PIE
CALIMIO DESEPAZ E21,A PIE
CIUDAD CAPRI E17,A PIE
CIUDAD CAPRI E17,A PIE
COMPARTIR E21,A PIE
VENEZ - URB. CANHAVER E20,A PIE
BASE AEREA E7,A PIE
MARIANO RAMOS E16,MOTOCICLETA
EL CEDRO E19,A PIE
PUERTO MALLARINO E7,TRANSPORTE PUBLICO
PRADOS DEL NORTE E2,A PIE
COLSEGUROS ANDES E10,A PIE
VIA CALI CANDELARIA (23-S-6-1),MOTOCICLETA
EL CARMELO,A PIE
BOLIVAR E25,A PIE
JOSE MARIA HERNANDEZ,A PIE
SAN GERMAN,A PIE
ZONA INDUSTRIAL #1,A PIE
CAROLINA,A PIE
LAS PLAYAS C-16,A PIE
GUAYAQUIL C-10,A PIE
JESUS NAZARENO C-10,TRANSPORTE PUBLICO
CASTILLA C-5,VEHICULO
CASTILLA C-5,A PIE
SANTA FE C-15,MOTOCICLETA
ESTADIO C-11,A PIE
LA MOTA C-16,A PIE
PRADO C-10,A PIE
MANILA C-14,A PIE
UINIVERSIDAD DE ANTIOQUIA  C-4,A PIE
FLORENCIA C-5,A PIE
LAS PALMAS C-10,A PIE
LAS INDEPENDENCIAS C-13,A PIE
EL POBLADO C-14,A PIE
ESTACION VILLA C-10,A PIE
BARRIO COLOMBIA C-14,TRANSPORTE PUBLICO
EL CHAGUALO C-10,A PIE
LA FLORESTA C-12,A PIE
KENNEDY C-6,A PIE
ESTACION VILLA C-10,A PIE
SANTA ANA,A PIE
LA PRADERA,A PIE
GRANADILLO,TRANSPORTE PUBLICO
SANTO DOMINGO DE GUZMAN,A PIE
VILLA SANTOS,A PIE
EL SANTUARIO,A PIE
VILLA SANTOS,A PIE
EL RIO,VEHICULO
GETSEMANI,A PIE
EL PROGRESO,A PIE
EL PROGRESO,A PIE
EL PROGRESO,A PIE
PLAZA PRINCIPAL LOS LIBERTADORES,A PIE
BARRIO CENTRO,A PIE
BARRIO EL TOPO,A PIE
CENTRO,A PIE
CENTRO,A PIE
GUAYACANES,A PIE
BARRIO CHIPRE,A PIE
CENTRO,A PIE
SECTOR COLEGIO INEM,A PIE
FUNDADORES,TRANSPORTE PUBLICO
CENTRO,A PIE
NUEVA GRANADA,A PIE
CENTRO,A PIE
SECTOR PARQUE SAN SEBASTIAN,A PIE
ALTOS DE MOLINO,A PIE
EL VISO,A PIE
CENTRO,A PIE
CENTRO,A PIE
PONTEVEDRA,A PIE
CIUDADELA 450 ANHOS,A PIE
LAS MARGARITAS,A PIE
MINUTO DE DIOS,MOTOCICLETA
ALTO KENNEDY,A PIE
LA FLORESTA,A PIE
LA FLORIDA E-10,VEHICULO
BACHUE E-10,A PIE
LAS AGUAS E-17,VEHICULO
ROSALES E-2,A PIE
SAN VICTORINO E-14,TRANSPORTE PUBLICO
LAS NIEVES E-3,A PIE
RINCON VILLA MAYOR E-6,A PIE
MARLY E-2,A PIE
RINCON DE LOS ANGELES  E-8,A PIE
EL TINTAL E-9,TRANSPORTE PUBLICO
MONTEVIDEO E-9,A PIE
OLAYA E-18,TRANSPORTE PUBLICO
URB. CATALINA E-8,A PIE
GUSTAVO RESTREPO E-18,A PIE
AURES II E-11,A PIE
BOSQUE POPULAR E-10,TRANSPORTE PUBLICO
CIUDAD KENNEDY OCC E-8,A PIE
LOS PERIODISTAS E-8,A PIE
LA INDEPENDENCIA E-7,A PIE
SAN CRISTOBAL E-4,A PIE
OLARTE E-7,A PIE
LA SOLEDAD E-13,A PIE
EL NEVADO E-5,A PIE
GALERIAS E-13,MOTOCICLETA
LA PERLA E-5,A PIE
RICAURTE E-14,A PIE
SIDAUTO E-10,A PIE
CARVAJAL E-8,A PIE
URB. LA CHUCUA E-8,A PIE
SANTANDER,A PIE
EL PROGRESO,A PIE
EL RETIRO,A PIE
CENTRO,TRANSPORTE PUBLICO
SUR ORIENTALES,A PIE
ACACIAS ETAPA II,A PIE
VILLA CAROLINA,A PIE
RODADERO SUR,A PIE
13 DE JUNIO,VEHICULO
TENERIA,A PIE
SAN FRANCISCO,MOTOCICLETA
LAS VEGAS,A PIE
BULEVAR LA 19,A PIE
CENTRO HISTORICO,A PIE
EL MANACACIAS,A PIE
VILLA JULIA,A PIE
VEREDA VANGUARDIA,A PIE
VILLA JULIA,A PIE
OLIMPICO,A PIE
7 DE AGOSTO,A PIE
SAN BENITO,A PIE
EL BUQUE,A PIE
ARIGUANI,A PIE
VILLA MARIA,A PIE
AVENIDA PANAMERICANA,A PIE
BALCONES DE LA FRONTERA,A PIE
CHAMBU,A PIE
LOS CHILCOS,A PIE
AVENIDA PANAMERICANA,A PIE
LA RIVERA,A PIE
SAN IGNACIO,A PIE
CHAPAL,A PIE
PLAZA DEL CARNAVAL,A PIE
ESTADIO LIBERTAD,A PIE
AV. ESTUDIANTES,A PIE
CENTRO,A PIE
ESTADIO LIBERTAD,A PIE
ESTADIO LIBERTAD,A PIE
ESTADIO LIBERTAD,A PIE
AV. CHAMPAGNAT,A PIE
CENTRO,A PIE
CENTRO,A PIE
SANTA MONICA,A PIE
ESTADIO LIBERTAD,A PIE
SAN JUAN BOSCO,A PIE
ESTADIO LIBERTAD,A PIE
ESTADIO LIBERTAD,A PIE
CENTRO,A PIE
NIZA II,A PIE
ESTADIO LIBERTAD,A PIE
JULIAN BUCHELI,A PIE
JULIAN BUCHELI,A PIE
ESTADIO LIBERTAD,A PIE
BACHUE,A PIE
SIMON BOLIVAR,A PIE
BARRIO PRADOS DEL NORTE,TRANSPORTE PUBLICO
BARRIO CERRO PICO,TRANSPORTE PUBLICO
BARRIO LATINO,TRANSPORTE PUBLICO
BARRIO CENTRO,A PIE
BARRIO VIDELSO,A PIE
EL CENTRO,A PIE
BOSQUES DE PALERMO,A PIE
ECOMAR,A PIE
BOMBAY,A PIE
LOS LAGOS,A PIE
SECTOR PARQUE LA LIBERTAD,A PIE
SECTOR PLAZA DE BOLIVAR,A PIE
SECTOR GALERIA CENTRAL,A PIE
SECTOR ZONA ROSA,A PIE
B. CENTRO,A PIE
B. CENTRO,VEHICULO
EL CENTRO,A PIE
EL TRAPICHE,A PIE
EL CENTRO,A PIE
GALAN GOMEZ,A PIE
CABECERA DEL LLANO,A PIE
SAN GERARDO,A PIE
VILLAS DE SAN IGNACIO,A PIE
CALDAS,A PIE
ALTAMIRA,A PIE
LOS CAMBULOS,A PIE
POBLADO,A PIE
PALTO ALTO,A PIE
LAS DELICIAS,A PIE
BOSTON,A PIE
PLAZA MAJAGUAL,A PIE
PLAZA MAJAGUAL,A PIE
LIBERTADOR,A PIE
VRDA. AMAYARCO,A PIE
VRDA. AMAYARCO,A PIE
BALCANES,A PIE
QUINTAS,A PIE
MIRAMAR,A PIE
20 DE JULIO,A PIE
VRDA. EL PINAL,A PIE
VRDA MALACHI,A PIE
VIA BUENAVENTURA - BUGA,A PIE
CENTRO,A PIE
EL CARMEN,A PIE
ANTONIO NARINHO E16,A PIE
SAN CARLOS E11,A PIE
EL TRONCAL E8,A PIE
LILI E17,A PIE
VILLA DEL SUR E11,A PIE
PAMPA LINDA E19,A PIE
VALLE GRANDE E21,A PIE
LOS ALCAZARES E6,TRANSPORTE PUBLICO
EL LIDO E19,A PIE
LILI E17,A PIE
LILI E17,A PIE
JOSE MARIA CABAL,A PIE
SEMBRADOR,A PIE
OLIMPICO,MOTOCICLETA
DEPORTIVO,A PIE
NAVARRA,A PIE
CIUDAD NIQUIA,A PIE
LA ARBOLEDA,MOTOCICLETA
MESA,A PIE
ZONA CENTRO,A PIE
PILSEN,A PIE
CENTRO,A PIE
LA BOMBA,A PIE
LAS VIOLETAS C-16,A PIE
LAS ACACIAS C-11,A PIE
CONQUISTADORES C-11,VEHICULO
ASTORGA C-14,A PIE
GUAYABAL C-15,A PIE
ESTACION VILLA C-10,TRANSPORTE PUBLICO
LA CANDELARIA C-10,A PIE
EL RODEO C-15,A PIE
BELEN C-16,TRANSPORTE PUBLICO
CRISTO REY C-15,A PIE
LA CANDELARIA C-10,A PIE
ASTORGA C-14,A PIE
LA CAMELIA,VEHICULO
CIUDADELA 20 DE JULIO,A PIE
LOS ANGELES,A PIE
EL BOSQUE,TRANSPORTE PUBLICO
MIRAMAR,A PIE
SOLEDAD 2000,A PIE
LAS GAVIOTAS,VEHICULO
LOS CUSULES,A PIE
EL CABRERO,A PIE
EL LAGUITO,A PIE
BOCAGRANDE,A PIE
BARRIO CENTRO,A PIE
BARRIO CENTRO,A PIE
PARQUE PRINCIPAL,A PIE
CENTRO,A PIE
BARRIO LAS PENHITAS,A PIE
LA PRADERA,A PIE
LA FELISA,VEHICULO
CENTENARIO,A PIE
LOS ALCAZARES,A PIE
CENTRO,A PIE
CENTRO,A PIE
PLAZA DE TOROS,A PIE
LA ESTRELLA,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
EL CARMELO,A PIE
HISPANIA,A PIE
LA CANDELARIA,A PIE
SECTOR PARQUE SAN SEBASTIAN,A PIE
SECTOR PARQUE SAN SEBASTIAN,A PIE
CENTRO,A PIE
CENTRO,A PIE
VIA A FLORENCIA,A PIE
20 DE JULIO,A PIE
PROGRESO III,A PIE
NUEVO HABITAD,A PIE
VDA TUNIA,VEHICULO
SANTA CLARA,A PIE
LA ALDEA,A PIE
CENTRO,A PIE
MORALES DUQUE,A PIE
CENTRO,A PIE
INV. LA PRADERA,A PIE
EL PARAISO,A PIE
DON CARMELO,A PIE
LOS ROSALES,A PIE
AMERICAS,A PIE
LA ESPERANZA,A PIE
CHUCHURUBI,A PIE
EL CENTRO,A PIE
COSTA DE ORO,A PIE
MUZU E-6,VEHICULO
VISION DE COLOMBIA E-8,A PIE
CHAPINERO CENTRAL E-2,A PIE
SAN DIEGO BOSA E-7,A PIE
LA ESPERANZA E-12,TRANSPORTE PUBLICO
LA ESTANCIA E-19,A PIE
BELLAVISTA E-8,A PIE
SALAZAR GOMEZ E-16,TRANSPORTE PUBLICO
LOS DOS PUENTES,A PIE
CARVAJAL E-8,MOTOCICLETA
EL RETIRO E-2,A PIE
BOSA CARBONEL II E-7,BICICLETA
URB. MADELENA I Y II SECTOR E-19,A PIE
LOS NARANJOS E-7,A PIE
MODELO E-12,A PIE
LA PLAYA E-19,A PIE
VER.GUACIMAL,A PIE
TRAMO DE VIA ALBANIA - CUESTESITAS,MOTOCICLETA
OVIDIO MEJIA,A PIE
JOSE D BOSCAN,A PIE
JOSE D BOSCAN,A PIE
ACACIAS ETAPA II,VEHICULO
LAS GRANJAS,A PIE
SAN JORGE,A PIE
LAS BRISAS,A PIE
PORVENIR,A PIE
PORVENIR,A PIE
RODADERO TRADICIONAL,A PIE
PLAYA SALGUERO,A PIE
PLAYA SALGUERO,A PIE
RODADERO TRADICIONAL,A PIE
SANTA CRUZ,A PIE
CENTRO,A PIE
TAGANGA,A PIE
EL MANACACIAS,A PIE
MANACACIAS,A PIE
CENTRO,A PIE
PORFIA,A PIE
CENTAURO,A PIE
MARACOS,A PIE
CAUDAL NORTE,VEHICULO
PIAMONTE,A PIE
COVISAN,A PIE
VEREDA VANGUARDIA,A PIE
VEREDA VANGUARDIA,A PIE
LA ESPERANZA,A PIE
EL DARIEN,A PIE
RUMICHACA,A PIE
CENTRO,A PIE
PALERMO,A PIE
JERUSALEN,A PIE
LA MINGA,MOTOCICLETA
LA MINGA,MOTOCICLETA
MIJITAYO ALTO,A PIE
AV. LAS AMERICAS,A PIE
BOMBONA,A PIE
PUENTE DEL PROGRESO,A PIE
NUEVO,A PIE
SIMON BOLIVAR,A PIE
SAN FRANCISCO,A PIE
BARRIO PARAMO,A PIE
BARRIO ALTO PAMPLONITA,A PIE
BARRIO BRUSELAS,A PIE
"QUINDOS I, II Y III",A PIE
LA PATRIA,A PIE
LOS LIBERTADORES,A PIE
VDA. EL CHOCHO,A PIE
TERMINAL DE TRANSPORTES,A PIE
SECTOR PARQUE EL LAGO,A PIE
B. CENTRO,A PIE
CENTRO 2,A PIE
B. CENTRO,A PIE
EL CENTRO,A PIE
EL TRAPICHE,A PIE
JORGE ELIECER GAITAN,A PIE
COLOMBIA,MOTOCICLETA
SAN ALONSO,A PIE
EL PORVENIR,A PIE
CIUDADELA REAL DE MINAS,A PIE
CABECERA DEL LLANO,A PIE
PABLO VI,MOTOCICLETA
SAN FRANCISCO,VEHICULO
CENTRO,A PIE
EL PRADO,A PIE
CANHAVERAL,A PIE
LAGOS I,A PIE
EL PALENQUE,A PIE
LA POPA,A PIE
JUNIN,A PIE
CGTO RINCON DEL MAR,A PIE
CALLE NUEVA,A PIE
PUERTA ROJA,A PIE
MAJAGUAL,A PIE
ALTOS DE LA SABANA,A PIE
AV. LUIS CARLOS GALAN,A PIE
RURAL LA SIERRA VIA TOLU,MOTOCICLETA
RURAL LA SIERRA VIA TOLU,MOTOCICLETA
SAN RAFAEL,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
COQUETA,BICICLETA
JORDAN ARKCENTRO,A PIE
LOS PARRALES,A PIE
ALTO DE LA VIRGEN,A PIE
CENTRO,A PIE
MUELLE TURISTICO,A PIE
NUEVA BUENAVENTURA,A PIE
EL CARMEN,A PIE
VEREDA CASCAJAL E22,MOTOCICLETA
CALDAS E18,A PIE
EL LIDO E19,A PIE
MANUELA BELTRAN E14,A PIE
CIUDADELA DEL RIO E21,A PIE
CIUDADELA DEL RIO E21,A PIE
JOSE M. MARROQUIN II E14,A PIE
VALLE GRANDE E21,A PIE
VALLE GRANDE E21,A PIE
CHAMPAGNAT E19,A PIE
JUANAMBU E2,A PIE
NAPOLES E18,VEHICULO
FENALCO KENNEDY E12,VEHICULO
BRETANHA E9,MOTOCICLETA
CENTRO,A PIE
CENTRO,A PIE
CGTO. EL VINCULO,MOTOCICLETA
CENTRO,A PIE
CENTRAL,A PIE
SANTA RITA,A PIE
RECTA CALI - PALMIRA,VEHICULO
NUEVO FATIMA,MOTOCICLETA
BELALCAZAR E25,A PIE
MANZANAREZ,A PIE
PRADO,A PIE
CENTRO,A PIE
LA ARBOLEDA,A PIE
ZONA CENTRO,A PIE
JARDINES,A PIE
MESA,A PIE
SIMON BOLIVAR,A PIE
CENTRO,A PIE
CENTRO,A PIE
BOSTON C-10,A PIE
CASTILLA C-5,A PIE
CONQUISTADORES C-11,MOTOCICLETA
ESTADIO C-11,A PIE
LA AGUACATALA C-14,A PIE
SAN MIGUEL C-8,A PIE
ROSALES C-16,A PIE
SAN JAVIER 1 C-13,A PIE
LA LOMA DE LOS BERNAL C-16,A PIE
LA CANDELARIA C-10,A PIE
VIA SANTA ELENA  C-9,A PIE
LA CANDELARIA C-10,A PIE
CARIBE C-5,A PIE
ARANJUEZ  C-4,A PIE
EL POBLADO C-14,A PIE
LORENA C-11,A PIE
LA CANDELARIA C-10,A PIE
SIMON BOLIVAR I,A PIE
SAN ROQUE,A PIE
DANIEL LEMAITRE,A PIE
EL LAGUITO,A PIE
PIE DEL CERRO,A PIE
VEREDA SAN RAFAEL,A PIE
BARRIO VILLA JULIANA,A PIE
BARRIO CENTRO,A PIE
TERMINAL DE TRANSPORTES,A PIE
GALERIAS,A PIE
VDA LA FELISA,VEHICULO
CENTRO,A PIE
SECTOR EL CABLE,A PIE
SECTOR PLAZA ALFONSO LOPEZ P.,A PIE
PALOGRANDE,A PIE
CENTRO,A PIE
BARRIO VILLAPILAR,A PIE
BARRIO GALERIAS,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO,A PIE
SECTOR PARQUE SAN SEBASTIAN,A PIE
FUNDADORES,A PIE
CENTRO,A PIE
CENTRO,A PIE
LA CANDELARIA,A PIE
LA CANDELARIA,A PIE
LA CANDELARIA,A PIE
LA CANDELARIA,A PIE
LA CANDELARIA,A PIE
LA CANDELARIA,A PIE
BERLIN,A PIE
BOLIVAR,A PIE
CENTRO,A PIE
LA GRANJA,MOTOCICLETA
SANTA ELENA,A PIE
EL ALIVIO,A PIE
CGTO BATATAS,A PIE
SAN DIEGO BOSA E-7,A PIE
SIDAUTO E-10,A PIE
VEINTE DE JULIO E-4,A PIE
VERBENAL E-1,A PIE
ARBORIZADORA BAJA E-19,A PIE
LUCERO BAJO E-19,A PIE
PATIO BONITO I E-8,A PIE
TINTALITO E-8,A PIE
LA GAITANA E-11,A PIE
URB. NUEVA ZELANDIA E-11,A PIE
SAN ANTONIO E-15,TRANSPORTE PUBLICO
SAN MATEO,A PIE
QUINTANARES,A PIE
CHAPINERO,A PIE
VILLA MATILDE,A PIE
PREDIOS POZOS COLORADOS,VEHICULO
RODADERO SUR,A PIE
SANTA MONICA,TRANSPORTE PUBLICO
URBANIZACION RIASCOS,A PIE
LA LUCHA,A PIE
EL TRIUNFO,A PIE
MANACACIAS,A PIE
VILLA BOLIVAR,A PIE
CENTRO,A PIE
SAN BENITO,A PIE
CENTRO,A PIE
CENTRO,A PIE
LAS VIOLETAS I,A PIE
SAN FERNANDO,A PIE
IDEMA,A PIE
VILLA RECREO,A PIE
SAN FELIPE,A PIE
BARRIO LLERAS RESTREPO,A PIE
CENTRO,A PIE
CENTRO,A PIE
LA PRADERA,A PIE
SECTOR CC. UNICENTRO CUBA,A PIE
ESTACION VILLEGAS,A PIE
SECTOR CENTRO,A PIE
EL CENTRO,A PIE
EL CENTRO,A PIE
BATALLON NUEVA GRANADA,A PIE
LA UNIVERSIDAD,A PIE
EL CARMEN IV,A PIE
BALCONES DE GALIXIA,A PIE
CENTRO,A PIE
CENTRO,A PIE
CENTRO P/TA,A PIE
SETOR CANAPRO,A PIE
6 DE ENERO,A PIE
PIEDRA PINTADA PARTE ALTA,TRANSPORTE PUBLICO
CENTRO,A PIE
CENTRO,A PIE
VIA CALI - BUENAVENTURA,A PIE
VIA CALI - BUENAVENTURA,MOTOCICLETA
EL POBLADO I E13,A PIE
CHIPICHAPE E2,A PIE
CAMINO REAL - J BORRERO E19,A PIE
CAMINO REAL - J BORRERO E19,A PIE
SAN JOAQUIN E17,A PIE
SAN JUDAS TADEO I E10,BICICLETA
BELEN (23-S-2-1),A PIE
EL PORVENIR E24,A PIE
EL LIDO (26-1),A PIE
PANORAMA E25,MOTOCICLETA
ALTOS DE NIQUIA,A PIE
NIQUIA QUITASOL,A PIE
VDA. EL PINAR,A PIE
CENTRO,A PIE
VDA. CARDALITO,VEHICULO
TAHAMIES,A PIE
SIMON BOLIVAR,A PIE
OBRERO,A PIE
LA CANDELARIA C-10,A PIE
VILLANUEVA C-10,A PIE
SAN JAVIER 1 C-13,A PIE
LA FRANCIA  C-2,TRANSPORTE PUBLICO
CARIBE C-5,A PIE
U.D. ATANASIO GIRARDOT C-11,A PIE
EL POBLADO C-14,A PIE
LA LIBERTAD C-8,A PIE
LA CANDELARIA C-10,A PIE
CARIBE,A PIE
AEROPUERTO,A PIE
LA GALLERA,A PIE
EL BOSQUE,A PIE
LA ESPERANZA,A PIE
LOS GUARATAROS,A PIE
EL ROSARIO,A PIE
BARRANQUILLITA,A PIE
LOS JOBOS,A PIE
LA MAGDALENA,A PIE
EL ANCIA,A PIE
LA BOQUILLA,A PIE
EL BIFFI,A PIE
SAN FERNANDO,A PIE
PARQUE PRINCIPAL,A PIE
JUAN GRANDE,A PIE
SOLANO,A PIE
EL PRADO,A PIE
VDA. PIRGUA,A PIE
CENTRO,A PIE
CENTRO,A PIE
VDA.LAS CAMELIAS,A PIE
CAMPO AMOR,A PIE
CENTRO,A PIE
COLSEGUROS,A PIE
CENTRO,A PIE
ABBAS TURBAY,A PIE
CENTRO,A PIE
BELEN,A PIE
VDA YARUMALES,VEHICULO
EL PAJONAL,A PIE
SECTOR EL PEAJE,MOTOCICLETA
SAN JOAQUIN,A PIE
EL PROGRESO,VEHICULO
GARUPAL II,A PIE
GARUPAL II,A PIE
SANTA ANA,A PIE
KENNEDY,A PIE
VEREDA LAS MARCELITAS,MOTOCICLETA
SAN PEDRO,A PIE
LAS AMERICAS,A PIE
LAS AMERICAS,A PIE
VILLA MARGARITA,A PIE
SECTOR PLAYA BLANCA,MOTOCICLETA
SECTOR PLAYA BLANCA,MOTOCICLETA
QUINTA CAMACHO E-2,A PIE
CIUDAD KENNEDY CENTRAL E-8,TRANSPORTE PUBLICO
EL VERGEL E-14,A PIE
EL TUNAL II E-6,A PIE
MARLY E-2,TRANSPORTE PUBLICO
SAN BLAS II E-4,A PIE
ROMA  E-8,A PIE
LA ESMERALDA E-13,A PIE
VERACRUZ E-3,A PIE
LA AZUCENA A E-7,A PIE
EL CAIRO E-15,A PIE
BARRIO LA PLAYA,A PIE
URB. NUEVA MARSELLA I SECTOR E-8,A PIE
CLARET E-18,TRANSPORTE PUBLICO
BALMORAL,A PIE
CHAPINERO,A PIE
CANDIDO LEGUIZAMO,A PIE
LAS CRISTALINAS,MOTOCICLETA
ACACIAS ETAPA II,A PIE
ENCENILLO,A PIE
CENTRO,A PIE
GAIRA TRADICIONAL,A PIE
CENTRO HISTORICO,A PIE
20 DE JULIO,VEHICULO
BONANZA,A PIE
CENTRO,A PIE
VENCEDORES,A PIE
PLAYA RICA,A PIE
VEREDA LAS MERCEDES,A PIE
DONHA LUZ,TRANSPORTE PUBLICO
LAS CRUCES,A PIE
IDEMA,A PIE
BARRIO MARABELITO,A PIE
BUENOS AIRES,A PIE
SECTOR CAM,A PIE
EL PESCADOR,A PIE
LA PAZ CENTRO,TRANSPORTE PUBLICO
ROCIO BAJO,A PIE
CRUCERO DE COMBIA,A PIE
BAVARIA,A PIE
EL CENTRO,A PIE
MIRAFLORES,A PIE
MIRAFLORES,A PIE
TERRAZAS,A PIE
ANTONIA SANTOS,A PIE
DIAMANTE I,A PIE
DIAMANTE II,A PIE
LA INMACULADA,A PIE
CENTRO,A PIE
JUNIN,A PIE
SAN FRANCISCO P/TA,A PIE
URB. VILLAS DE ANDALUCIA,A PIE
EL CENTRO,A PIE
EL PORVENIR,A PIE
CGTO LAS LLANADAS,A PIE
SECTOR LA PLAYA,A PIE
ESPANHA,A PIE
SAN LUIS,A PIE
CRUZ DE MAYO,A PIE
CALLE CAUCA,A PIE
EL REPOSO,A PIE
LA CAMPINHA,A PIE
VILLA LUZ,A PIE
R-9 (URB. SAN BUENAVENTURA),A PIE
LOS NARANJOS I E14,A PIE
JUNIN E9,A PIE
ULPIANO LLOREDA E13,BICICLETA
ARANJUEZ E9,A PIE
CGTO LA VORAGINE E22,A PIE
SANTA ROSA E3,MOTOCICLETA
PETECUY I E6,A PIE
LAS GRANJAS E10,A PIE
PIZAMOS I E21,A PIE
EL LIDO E19,TRANSPORTE PUBLICO
CHIPICHAPE E2,A PIE
NAZARETH,A PIE
NIQUIA BIFAMILIAR,A PIE
EL CAMPING,A PIE
EL CAMPING,A PIE
PARAISO,A PIE
VDA. ENCERILLOS,VEHICULO
SANTA CRUZ,TRANSPORTE PUBLICO
CENTRO,A PIE
VDA. EL PORVENIR,A PIE
LA DALIA,A PIE
CRISTO REY C-15,A PIE
MANRIQUE 2  C-3,A PIE
CARLOS E. RESTREPO C-11,MOTOCICLETA
LA CANDELARIA C-10,A PIE
LA CANDELARIA C-10,A PIE
LORETO  C-9,A PIE
FLORIDA NUEVA C-11,A PIE
BOSTON C-10,MOTOCICLETA
GUAYAQUIL C-10,A PIE
LA CANDELARIA C-10,A PIE
SURAMERICANA C-11,TRANSPORTE PUBLICO
MANILA C-14,VEHICULO
CALLE NUEVA C-10,A PIE
LA CANDELARIA C-10,A PIE
GUAYABAL C-15,TRANSPORTE PUBLICO
LA CANDELARIA C-10,A PIE
VILLANUEVA C-10,A PIE
LA BALSORA,VEHICULO
LOS SALADOS,A PIE
PARQUE PRINCIPAL,A PIE
LOS PINOS,A PIE
LOS LIBERTADORES,A PIE
CENTRO,A PIE
SIMON BOLIVAR,A PIE
SIMON BOLIVAR,A PIE
EL PARAISO,A PIE
NUEVA GRANADA,A PIE
LAS PALMAS,A PIE
CORDIALIDAD,A PIE
LAS NIEVES,A PIE
REBOLO,MOTOCICLETA
CENTRO,MOTOCICLETA
EL SILENCIO,A PIE
CENTRO,A PIE
CENTRO,A PIE
BARRIO CENTRO,A PIE
CENTRO,A PIE
VILLA HERMOSA,A PIE
SECTOR EL CABLE,A PIE
CENTRO,A PIE
JUAN XXIII,A PIE
CADILLAL,A PIE
BETANIA,A PIE
EL PARAISO,A PIE
VEREDA,A PIE
CENTRO,A PIE
VILLA CASTRO,A PIE
URB. LORENZO MORALES,A PIE
CGTO DE CECILIA,A PIE
VILLA MELISA,A PIE
PETARE,A PIE
DANUBIO AZUL I Y II SECTOR E-7,TRANSPORTE PUBLICO
PALESTINA E-7,A PIE
QUINTA CAMACHO E-2,A PIE
GALERIAS E-13,A PIE
COFRADIA E-9,A PIE
NORMANDIA E-10,A PIE
EL RETIRO E-2,A PIE
VEINTE DE JULIO E-4,A PIE
LOS ANDES E-12,A PIE
LA SOLEDAD E-13,TRANSPORTE PUBLICO
TEUSAQUILLO E-13,A PIE
RESTREPO E-15,A PIE
SANTA FE E-14,TRANSPORTE PUBLICO
URB. SAN PATRICIO E-1,A PIE
FRANCO E-9,A PIE
NIZA NORTE E-11,A PIE
PALOQUEMAO E-14,A PIE
BONANZA E-10,TRANSPORTE PUBLICO
URB. PONTEVEDRA I SECTOR E-11,A PIE
URB. SANTA HELENA DE BAVIERA IV E-11,A PIE
LOS MONJES E-10,A PIE
VILLA LUZ E-10,A PIE
POLO CLUB E-12,A PIE
EL RECREO E-7,A PIE
QUINTA CAMACHO E-2,A PIE
ANTONIO GRANADO SUBA E-11,A PIE
LA VICTORIA NORTE E-11,A PIE
PARAISO,A PIE
20 DE JULIO,MOTOCICLETA
COOPERATIVO,A PIE
SAN ANTONIO,MOTOCICLETA
SAN ANTONIO,MOTOCICLETA
CANAIMA,A PIE
VILLA ESPINOZA,A PIE
VILLA ESPINOZA,A PIE
VILLA ESPINOZA,A PIE
SEVILLANO,A PIE
SEVILLANO,MOTOCICLETA
VISTA HERMOSA,A PIE
RODADERO SUR,A PIE
EL EMPORIO,A PIE
ANILLO VIAL,MOTOCICLETA
LA ESCALA,A PIE
TRABAJADORES,A PIE
AVENIDA PANAMERICANA,A PIE
EL MIRADOR,A PIE
SAN ANDRES,A PIE
VILLA GUERRERO,A PIE
SANTA MONICA,MOTOCICLETA
SAN IGNACIO,A PIE
CAICEDONIA,MOTOCICLETA
LA ROSA,A PIE
PARQUE INFANTIL,TRANSPORTE PUBLICO
PANDIACO,A PIE
CENTRO,A PIE
MARIDIAZ,A PIE
BARIO LA RIVIERA,A PIE
BARRIO BLANCO,A PIE
GALAN,A PIE
LA CASTELLANA,A PIE
